State,District,Latitude,Longitude,Population,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,2741239,856350,626997,488596,242844,245752,495794,247472,248322,1323667,748939,574728,1066460,257207,1417572,363737,484912,84661,390357,2399901,275970,15422,1377,25510,617,194954,566108,5512,817714,232470,344167,281752,225957,143143,100226,1536378,704551,422522,8338,96998,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,4081148,1338474,972486,583135,292379,290756,154127,78573,75554,2036166,1208544,827622,1679655,356511,2044982,413253,879537,105343,638033,3599372,443456,20463,932,341,1417,223016,897970,8606,1244428,462273,720357,582075,331793,162175,144915,2189396,1104565,739612,9915,144214,98.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,4174064,1484794,1183084,785760,389582,396178,159165,79756,79409,1933357,1202223,731134,1669852,263505,2240707,434544,748093,57269,693451,3737588,397870,24129,867,253,1322,324406,944555,13763,1303870,522961,770836,673197,548336,265199,246409,2148179,1159053,807430,16296,186568,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,5154296,1716933,1571644,945269,468883,476386,213195,104422,108773,2093681,1545831,547850,1748117,345564,3060615,160407,1122046,57853,753375,4983330,77777,77825,738,413,4149,479914,1297273,22411,1605841,669420,947606,797497,521562,271809,263023,2724328,1478954,948122,25381,232073,101.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,4887813,1634726,1325715,957407,476333,481074,247089,125105,121984,2381624,1442370,939254,2106326,275298,2506189,302341,1227956,47436,803891,4217597,559770,89763,764,323,3282,648568,1186028,19383,1582990,736270,845810,674957,453446,246580,221924,2583462,1371811,928462,17424,190079,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,3943323,1542688,1349467,247927,124313,123614,48937,25556,23381,1413297,1045585,367712,1096081,317216,2530026,28308,23029,46157,1315803,2046051,1713405,87522,11446,1268,19560,581509,869721,149034,1066289,230962,596591,685215,811501,517425,558090,2249130,1068243,542669,124106,439890,95.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,3776269,1257238,949591,709757,352481,357276,106745,53495,53250,1876768,1049463,827305,1590304,286464,1899501,360390,756859,168340,591179,3491139,244723,24979,2086,332,312,344667,926768,8831,1165280,340372,453505,482842,463403,293493,256633,1940234,1031735,728494,14175,192965,101.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,2797370,901640,728594,462896,229905,232991,765565,378532,387033,1410062,802906,607156,1215871,194191,1387308,224972,804537,19799,360754,2595321,158887,33463,655,217,459,219710,668519,8628,870625,295639,346118,329630,238811,154774,160804,1530602,774583,477955,11887,115078,101.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,4517398,1598959,1410759,871063,435412,435651,132464,66734,65730,2048880,1327299,721581,1744978,303902,2468518,150166,1006976,48444,843294,4023678,307043,145598,1393,863,6320,632890,1163932,30438,1476334,618101,692968,630603,531821,312753,328454,2340943,1284630,833959,27969,212111,99.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,4053463,1246369,880792,737945,370215,367730,82831,42052,40779,2029425,1164122,865303,1757520,271905,2024038,310954,1037302,60791,620378,3328380,670737,33165,737,255,2235,195001,816721,10081,1090835,521327,672951,466940,271828,152453,115504,2368684,1053618,609027,10622,118153,99.0,52.0
